Sample.Name	Sample.Type	Classification	TMAO_76.1_58_qual	TMAO_76.1_59.1_quant	Choline_104_58_qual	Choline_104_60_quant	Carnitine_162.1_103_quant	Carnitine_162.1_85_qual	Creatine_132.1_44_qual	Creatine_132.1_90_quant	Trigonelline_138_92_quant	Trigonelline_138_94_qual	stachydrin_144_144_qual	stachydrin_144_84_quant	Histamine_deriv_247_154_quant	Histamine_deriv_247_95_qual	Taurine_deriv_261_126_quant	Taurine_deriv_261_136_qual	Carnosine_deriv_362.2_207.03_quant	Carnosine_deriv_362.2_269.02_qual	Anserine_deriv_376.1_241.03_quant	Anserine_deriv_376.1_283.03_qual	1.Met.His_deriv_305.1_124.03_quant	1.Met.His_deriv_305.1_83.07_qual	Hippuric.acid_180.1_105_quant	Hippuric.acid_180.1_77_qual	t4.OH.Pro_deriv_267.1_132_quant	t4.OH.Pro_deriv_267.1_86_qual	3.Met.His_deriv_305.1_168.04_quant	3.Met.His_deriv_305.1_212_qual	Phenylacetylglycine..PAG._194.1_76_qual	Phenylacetylglycine..PAG._194.1_91_quant	Ethanolamine_deriv_197.1_136.02_quant	Ethanolamine_deriv_197.1_62_qual	HArg_deriv_324.1_189.03_quant	HArg_deriv_324.1_84.06_qual	ADMA_deriv_338.2_203.03_quant	ADMA_deriv_338.2_46.08_qual	SDMA_deriv_338.2_172.03_qual	SDMA_deriv_338.2_203.02_quant	Met.SO_deriv_301.2_237_quant	Met.SO_deriv_301.2_88_qual	Met_deriv_285.1_133_qual	Met_deriv_285.1_150_quant	IS_Methionine_292.1_140.1_CE25_qual	IS_Methionine_292.1_157.1_CE15_quant	Kynurenine_deriv_344.2_146.03_qual	Kynurenine_deriv_344.2_192.02_quant	Trp_deriv_340.2_146.04_qual	Trp_deriv_340.2_188.03_quant	IS_Tryptophan_348.1_151.1_CE35_qual	IS_Tryptophan_348.1_195.1_CE25_quant	Putrescine_deriv_359.1_114.04_qual	Putrescine_deriv_359.1_266.01_quant	IS_Putrescin_363.1_118.1_CE35_qual	IS_Putrescin_363.1_270.1_CE15_quant	Cadaverin_2xderiv_373.1_128.03_qual	Cadaverin_2xderiv_373.1_280.01_quant	IS_Alanine_228.1_136.1_CE30_qual	IS_Alanine_228.1_93.1_CE15_quant	IS_DL.Proline_258.1_123.1_CE18_quant	IS_DL.Proline_258.1_76_CE35_qual	IS_L.Histidine_296.1_115.1_CE30_qual	IS_L.Histidine_296.1_203.1_CE15_quant
P72	Sample	Block 1.1	429402	284693	973792	2183400	650111	806834	160469	5.59E+05	244825	140190	1664124	224483	139176	87198	2310069	876425	1493606	1689011	92563	63465	1676490	352487	5921080	4356274	20604869	8662249	1386379	2960883	148510	223440	131806	123668	856194	514588	1123421	119470	213156	790096	356521	190298	5814706	11767759	2140460	4034905	127115	188094	6671086	14383311	13405574	30449196	380747	1283726	12575901	41503540	332260	1388681	1984355	3404524	59951712	42383581	4509610	5529530
Cal 3	Standard	Block 1.2	1824967	1222004	850862	1951470	1695841	996697	183258	6.04E+05	1861010	929947	21541189	3255598	4618145	2638104	836876	345385	343308	402487	1078698	700367	952078	209488	1368477	994224	2781599	1157211	1673417	2989536	272503	465379	1091705	1341405	1662582	1016455	1769864	197225	374985	1528630	431203	204061	462855	917032	568001	1177414	495254	716126	1529314	3282470	7037889	14517699	2018753	6624905	3905732	13011656	1857807	6345072	318380	585607	34097264	24046512	1231145	1569671
IS Mix 2	Blank	Block 1.2	N/A	19914	45541	51240	98113	122387	4734	8.29E+04	81576	11329	593306	28710	3813	1758	1488	60118	3765	12669	698	1706	2498	1474	3762	27567	2752	2697	2910	1164	10239	3315	6769	9034	1998	535	983	8151	753	248	6137	2245	4517	5850	1138179	2234451	5329	3553	17523	4077	10133185	21530817	7757	36282	10135745	33276316	10851	59088	783435	1364379	46434907	33769492	2616585	3189934
P77	Sample	Block 1.2	359183	255466	832192	2014078	456499	599997	84185	2.74E+05	200831	119318	901038	107774	150153	70644	3653054	1439597	640712	753134	33075	23254	734922	154480	4036667	2935601	13454927	5483032	593543	1250975	135002	265417	58102	59664	360322	212374	522213	65183	83558	335144	266448	123024	5872838	13826068	1220666	2634452	53270	77983	5331848	11556223	8771570	19558995	167069	571508	7378980	24271323	258155	784096	1397427	2436904	38756976	27952378	2833075	3535469
P52	Sample	Block 1.2	94931	74001	1030244	2400688	789419	877235	293224	7.18E+05	139086	100021	654612	74900	100428	67502	6687678	2595314	654097	737155	44441	42911	1191972	270559	414866	323856	15964812	6610510	553570	1540935	255191	422059	36579	33705	735820	424276	813425	84569	97681	435496	344299	184275	10573193	21797811	1862407	3856556	53807	83779	7063144	17303256	12314262	25857595	246064	750569	12461620	39617360	372830	1511980	2051928	3624438	53508100	40508079	4479597	5796542
P60	Sample	Block 1.2	34269	9819	813591	1932328	1057158	1018326	276194	7.98E+05	240533	97194	815551	95378	57826	35781	3160172	1200500	803642	929186	79475	53030	1213010	267761	457068	361403	16410663	6703177	705017	1608553	339020	613865	27811	33319	329626	209909	564639	65723	98985	377312	144409	76633	2806565	6096836	1695714	3296127	38809	62218	4910692	10235174	9854060	21786889	178872	548946	9242603	30012508	165968	689524	1873059	3293069	47189741	33407360	3415555	4117499
P73	Sample	Block 1.2	116289	67119	983096	2566517	567782	939219	111592	5.01E+05	113581	77214	682988	77314	282767	156453	9066688	3519681	563921	602120	61143	45020	590400	129828	444755	365913	19168035	7962936	495831	1053160	592510	981424	134403	151089	260819	174544	975017	83699	121318	457224	316939	137037	9636028	19085123	1942026	3698273	43306	49560	7624732	16955275	11752924	24406413	198118	668254	11026917	35507324	218066	931245	1792216	3096295	49259647	36356074	4039682	5243891
P53	Sample	Block 1.2	58286	36954	570835	1413030	573471	554580	282564	7.88E+05	173786	73222	680350	82147	110053	68184	2421950	912454	1452312	1682050	54040	45314	1177525	244273	3117702	2214048	16998850	7103685	898579	1969136	201554	382100	38998	25606	131379	81063	564720	68855	125297	477969	257621	129522	4834057	9683546	1406207	2828916	26740	35826	5568595	12867833	9475564	18633194	209196	669941	8468470	27040138	330286	1280553	1575039	2853655	40093563	27508629	3079850	3859172
P68	Sample	Block 1.2	223913	110381	705293	1697903	404404	713886	126609	4.78E+05	154654	61931	949287	93013	655600	362672	9333197	3753570	516997	598374	54618	23008	624075	149148	412266	341201	15238201	6312552	699257	1330784	317154	577265	93849	101146	386057	235542	546557	60572	76223	290186	210423	102334	4939985	9941424	1198604	2346312	43779	77284	5690746	12759443	9298307	18309825	192409	620640	6815730	23166250	238781	977293	1180699	2105011	39205716	27281293	2600197	3263606
P66	Sample	Block 1.2	153714	100078	651583	1697977	800782	982155	81247	3.04E+05	120242	52557	1162419	114974	36504	17520	3568267	1319858	1105738	1127232	77678	56131	1107658	225316	572407	458087	22144404	9413672	888586	1860794	559679	989216	107584	115305	424082	222308	1125419	131586	115609	492442	254769	132028	8037769	16969854	2051007	3814905	41413	55910	5357014	11893409	13051239	27011229	247533	819552	11830175	37672522	713549	2456823	1850568	3173484	54316907	38801656	4198061	5601955
P82	Sample	Block 1.2	122621	62420	881125	2091096	499168	639243	140301	5.25E+05	227457	115129	1269220	136249	24498	15631	1337654	533319	558879	600244	29027	18768	825681	182789	3847820	2927246	12766630	5280302	546835	1148618	109814	193325	43192	33766	425300	223741	531172	53257	65221	274634	211956	110132	3366237	7108683	1123571	2216941	42017	63643	4853518	10578936	7203104	14920248	151728	474779	5992145	19480894	50016	227391	1128706	2015255	33998740	24597856	2337664	3134901
Cal 3	Standard	Block 1.3	1544396	966874	715776	1637662	1667293	974431	149842	5.52E+05	1737636	892912	19835981	2967022	3597807	2302897	659826	237544	310562	313838	893455	552256	797258	174981	1003567	833213	2425290	984505	1465758	2626428	242584	398032	879034	1061331	1662735	884170	1600777	188247	315291	1314638	332313	169337	367334	798435	492715	968544	391260	576059	1283375	2693329	5727915	12410197	1554244	5494472	2906319	9930515	1508025	5375536	284802	521500	32019570	22373418	1069307	1423910
IS Mix 2	Blank	Block 1.3	N/A	66588	32342	31641	63213	24080	1545	9.79E+04	63902	53743	460677	15635	1517	1301	3302	57453	5017	7841	2198	2999	2472	1253	2511	18766	2661	2517	2106	1317	11756	4134	6512	6243	3106	251	293	3556	707	167	5825	848	2732	8805	1017713	1775281	2169	4473	28096	6280	9467554	19770033	10263	30872	8544261	29689578	10289	51120	658106	1204945	41662909	30635899	2202264	3019995
P46	Sample	Block 1.3	625210	363949	831532	1939320	547347	618875	111322	4.01E+05	237275	133211	1889866	278680	25976	18030	1350028	492014	611868	713842	46935	36905	882503	191991	4534789	3282386	18269537	7418347	870721	1732455	231158	385208	61282	55245	538208	318668	667513	65220	81309	350635	201722	106295	3069749	6645056	1326218	2479317	39560	52226	6494138	14174422	9817333	18706954	104355	406670	7592141	25094637	316883	1507442	1403192	2545723	40728839	27980138	3002036	3914141
